# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136553.68983629034
# 
Resultados:
# tau_s_=_(3.40+/-0.56)e-07
# dphi_rad_=_6.57+/-0.04
# SAR_W/g_=_658.32+/-35.90
# Hc_kA/m_=_19.95+/-1.07
# Mr_A/m_=_418.58+/-36.83
# Suceptibilidad_a_M=0_=_0.0580+/-0.0128

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_150dA_100Mss_Ni0013.txt	06/06/2024 11:02:01	-34.3	274.48	20.58	57041.50	547.75	1.365498e+05	4.397964e+00	6.582536e+00	538.09	3.597055e-07	4394	1.939e-02
135kHz_150dA_100Mss_Ni0014.txt	06/06/2024 11:02:01	-34.3	276.59	20.62	57041.50	536.47	1.365498e+05	4.373416e+00	6.586985e+00	542.79	3.653927e-07	4394	1.961e-02
135kHz_150dA_100Mss_Ni0015.txt	06/06/2024 11:02:02	-34.1	273.60	20.61	57041.50	544.67	1.365498e+05	4.294374e+00	6.588274e+00	535.17	3.670379e-07	4394	1.974e-02
135kHz_150dA_100Mss_Ni0016.txt	06/06/2024 11:02:02	-34.1	275.98	20.47	57041.50	539.69	1.365498e+05	4.371951e+00	6.587996e+00	544.36	3.666884e-07	4394	1.960e-02
135kHz_150dA_100Mss_Ni0017.txt	06/06/2024 11:02:03	-33.9	272.37	20.67	57041.50	516.89	1.365498e+05	4.182549e+00	6.597211e+00	536.01	3.785238e-07	4394	1.938e-02
135kHz_150dA_100Mss_Ni0018.txt	06/06/2024 11:02:04	-33.7	275.48	20.75	57041.50	515.61	1.365498e+05	4.201594e+00	6.596516e+00	537.30	3.776270e-07	4394	1.976e-02
135kHz_150dA_100Mss_Ni0019.txt	06/06/2024 11:02:05	-33.5	283.16	20.86	57041.50	512.89	1.365498e+05	4.203839e+00	6.599707e+00	542.87	3.817396e-07	4394	2.050e-02
135kHz_150dA_100Mss_Ni0020.txt	06/06/2024 11:02:05	-33.5	276.93	20.23	57041.50	527.55	1.365498e+05	4.266702e+00	6.595251e+00	543.49	3.760000e-07	4394	2.052e-02
135kHz_150dA_100Mss_Ni0021.txt	06/06/2024 11:02:06	-33.1	280.97	20.56	57041.50	515.43	1.365498e+05	4.194662e+00	6.596360e+00	536.15	3.774236e-07	4394	2.088e-02
135kHz_150dA_100Mss_Ni0022.txt	06/06/2024 11:02:06	-33.1	288.45	20.52	57041.50	518.79	1.365498e+05	4.280062e+00	6.596910e+00	548.00	3.781344e-07	4394	2.125e-02
